
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top_level, 767, 5890, 403, 0, 0, 2, 0, 4, 21
.	. COREUART_C0, 87, 77, 18, 0, 0, 0, 0, 0, 0
.	.	. COREUART_C0_COREUART_C0_0_COREUART_26_0_0_0_0, 87, 77, 18, 0, 0, 0, 0, 0, 0
.	.	.	. COREUART_C0_COREUART_C0_0_Clock_gen_0_0, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	. COREUART_C0_COREUART_C0_0_Rx_async_0_0, 38, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREUART_C0_COREUART_C0_0_Tx_async_0_0, 21, 19, 4, 0, 0, 0, 0, 0, 0
.	. syn_identify_core0_0, 601, 304, 16, 0, 0, 2, 0, 3, 0
.	.	. IICE_x_0, 553, 288, 16, 0, 0, 2, 0, 0, 0
.	.	.	. b11_OFWNT9s_8tZ_Z3_x_0, 306, 146, 8, 0, 0, 2, 0, 0, 0
.	.	.	.	. b11_SoWyP0zEFKY_Z2_x_0, 73, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_vFW_xNywD_EdR_78s_7s_128s_0s_x_0, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_18s_1s_x_0, 18, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_32s_1s_x_0, 32, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b3_uKr_x_0, 0, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b7_OCByLXC_Z1_x_0, 163, 109, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	. b16_n2FydH_ab_FH9_K4_4s_x_0, 13, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b16_n2FydH_ab_FH9_K4_5s_x_0, 13, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b8_nR_ymqrG_7s_5s_0_0s_0s_0_63s_x_0, 26, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b8_PfFzrNYI_x_0, 10, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_PSyil9s1fkJ_K_x_0, 1, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b14_CRGcTCua_eH4_2_x_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_1_0_1_5_6_7_x_0_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_1_0_1_5_6_7_x_1_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_1_0_1_5_6_7_x_2_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b5_nvmFL_9s_x_0, 9, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. comm_block_x_0, 48, 16, 0, 0, 0, 0, 0, 3, 0
.	.	.	. b16_Rcmi_qlx9_yHpm7y_6s_1s_0s_0s_8s_0s_0s_1s_6s_7s_x_0, 16, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b9_ORbIwXaEF_32s_18446744071904942532_0s_x_0, 32, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. jtag_interface_x_0, 0, 7, 0, 0, 0, 0, 0, 3, 0
.	. sys_init, 18, 17, 16, 0, 0, 0, 0, 0, 0
.	. uart_reader, 14, 4, 0, 0, 0, 0, 0, 0, 0
.	. uart_writer, 34, 5488, 353, 0, 0, 0, 0, 0, 0
